Time,X,Y,Z,Vx,Vy,Vz
6.59999999999999,8.43112330436707,0.620032475655899,0.968161322677042,1.04531955718994,-0.0372603684663773,-0.00927370507270098
6.69999999999999,8.53565526008606,0.616306438809261,0.967233952169772,1.04703509807587,-0.0412416011095047,-0.00794206280261278
6.79999999999999,8.64035876989365,0.612182278698311,0.966439745889511,1.04879224300385,-0.0450055599212646,-0.00784673541784286
6.89999999999999,8.74523799419403,0.607681722706184,0.965655072347727,1.05061411857605,-0.0489109829068184,-0.00804019998759031
6.99999999999999,8.85029940605164,0.602790624415502,0.964851052348968,1.05351710319519,-0.0521183460950851,-0.00860786810517311
7.09999999999999,8.95565111637116,0.597578789805994,0.96399026553845,1.05706810951233,-0.0549117363989353,-0.00949429254978895
7.19999999999999,9.06135792732239,0.5920876161661,0.963040836283471,1.06038272380829,-0.0568711943924427,-0.0109556196257472
7.29999999999999,9.16739619970322,0.586400496726856,0.961945274320897,1.06363189220428,-0.0576214194297791,-0.0124457897618413
7.39999999999999,9.27375938892365,0.580638354783878,0.960700695344713,1.06636214256287,-0.0568220317363739,-0.0143515430390835
7.49999999999999,9.38039560317993,0.574956151610241,0.959265541040804,1.06829810142517,-0.0546137876808643,-0.0160832554101944
7.59999999999999,9.48722541332245,0.569494772842154,0.957657215499785,1.06917881965637,-0.0511732362210751,-0.0174597017467022
7.69999999999999,9.59414329528809,0.564377449220047,0.955911245325115,1.06910276412964,-0.0469858311116695,-0.0182961281388998
7.79999999999999,9.70105357170105,0.55967886610888,0.954081632511225,1.0683981180191,-0.0428176037967205,-0.0182081200182438
7.89999999999999,9.80789338350296,0.555397105729208,0.9522608205094,1.06726002693176,-0.0392557084560394,-0.017145624384284
7.99999999999999,9.91461938619614,0.551471534883604,0.950546258070972,1.06587362289429,-0.0365396738052368,-0.0154435532167554
8.09999999999999,10.0212067484856,0.54781756750308,0.949001902749296,1.06458616256714,-0.0348404124379158,-0.0132871046662331
8.19999999999999,10.1276653647423,0.544333526259289,0.947673192282673,1.06334936618805,-0.0340866222977638,-0.0111241061240435
